customer_id,customer_name,phone,gender,age,city,province,signup_date,acquisition_channel
CUST-00001,Adit Yulianti,0891-4744-2515,Male,22,Yogyakarta,DI Yogyakarta,2022-07-28,Google Search
CUST-00002,Cindy Maulana,081187744944,MALE,42,Bandung,Jawa Barat,2022-11-04,Organic Social
CUST-00003,Hilda Lestari,+6285239805833,Female,32,Semarang,Jawa Tengah,2022-10-02,Marketplace
CUST-00004,Wawan Firmansyah,0814-6016-7147,Male,39,Yogyakarta,DI Yogyakarta,2022-05-07,Organic Social
CUST-00005,Maya Kusuma,+6288792942660,Female,31,Tangerang,Banten,2022-08-12,Organic Social
CUST-00006,Doni Utami,0881-8914-1808,Female,23,Depok ,Jawa Barat,2022-05-22,TikTok Ads
CUST-00007,Endah Darmawan,+6282936917676,Male,41,Jakarta,DKI Jakarta,2022-12-15,Instagram Ads
CUST-00008,Guntur Pratama,0871-5049-2604,Male,19,Balikpapan,Kalimantan Timur,2022-09-21,Google Search
CUST-00009,Rangga Nugroho,0890-8284-6189,FEMALE,23,Balikpapan,Kalimantan Timur,2022-07-12,TikTok Ads
CUST-00010,Zahra Ramadhan,089435261945,Female,32,Palembang,Sumatera Selatan,2022-09-22,Referral
CUST-00011,Gita Nugroho,085896467726,Female,29,Bekasi,Jawa Barat,2022-05-16,Organic Social
CUST-00012,Wulan Firmansyah,+6288957876031,Male,24,Surabaya,Jawa Timur,2022-06-17,Google Search
CUST-00013,Erik Sukmawati,+6289324439364,Female,38,Semarang,Jawa Tengah,2022-02-09,TikTok Ads
CUST-00014,Jasmine Nugroho,0897-9886-8656,Female,34,Surabaya,Jawa Timur,2022-07-20,Instagram Ads
CUST-00015,Ulfa Halim,+6284716299620,Female,24,Depok,Jawa Barat,2022-09-07,Organic Social
CUST-00016,Bayu Halim,083723904244,Female,45,Balikpapan,Kalimantan Timur,2022-03-28,Referral
CUST-00017,Faisal Maulana,+6286019708879,Male,29,Palembang,Sumatera Selatan,2022-07-13,Marketplace
CUST-00018,Hana Pratama,081855134414,Female,21,Balikpapan,Kalimantan Timur,2022-06-29,Instagram Ads
CUST-00019,Kartika Darmawan,0882-5454-5775,Male,29,Balikpapan,Kalimantan Timur,2022-10-05,Referral
CUST-00020,Reza Santoso,0887-6405-9923,Female,31,Tangerang,Banten,2022-07-28,Referral
CUST-00021,Zahra Kusuma,088228842310,Male,27,Bekasi,Jawa Barat,2022-12-03,Instagram Ads
CUST-00022,Irfan Cahyani,089012443507,Male,40,Bandung,Jawa Barat,2022-07-13,Marketplace
CUST-00023,Vina Permana,0813-4048-7583,Male,31,Bekasi,Jawa Barat,2022-12-20,Organic Social
CUST-00024,Mega Handoko,0824-6125-5835,Female,28,Denpasar,Bali,2022-03-21,Marketplace
CUST-00025,Omar Suryadi,+6288879376294,Female,20,Solo,Jawa Tengah,2022-01-22,Instagram Ads
CUST-00026,Krisna Handoko,0889-5339-7345,Female,30,Balikpapan,Kalimantan Timur,2022-07-05,Instagram Ads
CUST-00027,Beni Kusuma,0822-2842-2759,Female,34,Medan,Sumatera Utara,2022-01-02,Marketplace
CUST-00028,Zaki Wibowo,0818-3660-4872,Female,32,Bandung,Jawa Barat,2022-09-11,Marketplace
CUST-00029,Dewi Purnama,089260535249,Female,26,Malang,Jawa Timur,2022-10-13,Marketplace
CUST-00030,Dinda Cahyani,0860-6342-8194,Male,27,Jakarta,DKI Jakarta,2022-04-23,TikTok Ads
CUST-00031,Ivan Suryadi,085387868034,Male,20,Palembang,Sumatera Selatan,2022-05-16,TikTok Ads
CUST-00032,Cindy Wibowo,089569252872,Female,28,Bogor,Jawa Barat,2022-08-31,TikTok Ads
CUST-00033,Laras Hartono,088698389573,Female,37,Balikpapan,Kalimantan Timur,2022-10-21,Instagram Ads
CUST-00034,Vina Nugroho,+6284732427320,FEMALE,26, Balikpapan,Kalimantan Timur,2022-02-25,TikTok Ads
CUST-00035,Cahya Permana,0854-8036-6899,Female,25,surabaya,Jawa Timur,2022-05-14,Instagram Ads
CUST-00036,Guntur Cahyani,085663996514,Female,36,Surabaya,Jawa Timur,2022-04-19,TikTok Ads
CUST-00037,Jihan Ramadhan,+6286734281947,Female,29,Semarang,Jawa Tengah,2022-03-08,Referral
CUST-00038,Erik Wibowo,084628732494,Male,26,BALIKPAPAN,Kalimantan Timur,2022-08-29,TikTok Ads
CUST-00039,Wawan Hidayat,+6285367808276,male,19,Balikpapan,Kalimantan Timur,2022-12-02,Referral
CUST-00040,Jasmine Wibowo,087643539478,Male,21,Semarang,Jawa Tengah,2022-01-19,Marketplace
CUST-00041,Doni Nugroho,0844-8064-9587,Male,32,Medan,Sumatera Utara,2022-08-22,Marketplace
CUST-00042,Laras Ramadhan,086068087259,Female,32,Balikpapan,Kalimantan Timur,2022-12-20,Marketplace
CUST-00043,Zahra Purnama,+6283445845601,Male,26,Semarang,Jawa Tengah,2022-07-07,Instagram Ads
CUST-00044,Mega Marliana,0856-4225-8922,Male,35,Denpasar,Bali,2022-05-18,Organic Social
CUST-00045,Putri Darmawan,0876-6589-3529,Male,31,Malang,Jawa Timur,2022-03-08,Organic Social
