customer_id,customer_name,city,acquisition_channel,last_order_date,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
CUST-0001,Cahya Wijaya,Jakarta,Referral,2025-09-11,112,10,2495550,2,5,4,254,Loyal
CUST-0002,Omar Marliana,Semarang,Organic Social,2025-11-10,52,8,1020300,3,4,3,343,Loyal
CUST-0003,Fajar Handoko,Medan,Instagram Ads,2025-12-10,22,9,3892900,4,4,5,445,Champions
CUST-0004,Zaki Gunawan,jakarta,Instagram Ads,2025-07-19,166,3,457800,2,2,2,222,Lost
CUST-0005,Putri Kusuma,Bandung,TikTok Ads,2025-09-02,121,3,1192300,2,2,3,223,Lost
CUST-0006,Anwar Wijaya,Bandung,Instagram Ads,2025-12-22,10,10,2893900,5,5,5,555,Champions
CUST-0007,Laras Marliana,Jakarta,Referral,2025-01-15,351,1,640800,1,1,2,112,Lost
CUST-0008,Rangga Halim,Jakarta,Instagram Ads,2025-11-30,32,2,506000,4,1,2,412,Potential Loyalist
CUST-0009,Ayu Gunawan,Medan,Instagram Ads,2025-11-30,32,9,2291500,4,4,4,444,Champions
CUST-0010,Hana Halim,Solo,Google Search,2025-10-31,62,2,876000,3,1,3,313,Needs Attention
CUST-0011,Endah Rahayu,Depok,Instagram Ads,2025-01-13,353,3,363600,1,2,1,121,Lost
CUST-0012,Jihan Darmawan,Semarang,Instagram Ads,2025-12-10,22,5,1500400,4,3,4,434,Potential Loyalist
CUST-0013,Wulan Marliana,Makassar,Referral,2025-09-12,111,3,946000,2,2,3,223,Lost
CUST-0014,Umar Prakoso,Balikpapan,Google Search,2025-12-02,30,19,4616050,4,5,5,455,Champions
CUST-0015,Anwar Kurniawan,Makassar,TikTok Ads,2025-12-12,20,3,934000,4,2,3,423,Potential Loyalist
CUST-0016,Hilda Prakoso,Jakarta,Organic Social,2025-12-02,30,16,4722750,4,5,5,455,Champions
CUST-0017,Galih Prakoso,Jakarta,Instagram Ads,2025-02-20,315,1,193800,1,1,1,111,Lost
CUST-0018,Kartika Hidayat,Bekasi,TikTok Ads,2025-11-16,46,16,4530000,4,5,5,455,Champions
CUST-0019,Maya Cahyani,Medan,TikTok Ads,2025-11-15,47,8,1391300,4,4,3,443,Champions
CUST-0020,Putri Utami,Solo,Instagram Ads,2025-09-19,104,3,1290100,3,2,3,323,Needs Attention
CUST-0021,Vero Firmansyah,Jakarta,Instagram Ads,2025-12-29,3,1,71400,5,1,1,511,Potential Loyalist
CUST-0022,Sari Ramadhan,Jakarta,TikTok Ads,2025-05-10,236,5,1357000,1,3,3,133,At-Risk
